Scenario;Country;BVD_level;PTB_level;SAL_level;BDV_inc;PTB_inc;SAL_inc;NetReturn_PrCowYr;ReplacementRate;CowMortRate;CullRate;N_BoughtHeif;Income_Milk;Income_Slaughter;Income_HeifSale;Income_CalfSale;Income_StatusHeif;Income_StatusCow;Income_Total;Cost_FeedCows;Cost_FeedYoungstock;Cost_BoughtHeif;Cost_TreatmentsCows;Cost_Insem;Cost_OtherCow;Cost_OtherHeif;Cost_Total;MilkFever_inc;Dystocia_inc;RetPlacenta_inc;Metritis_inc;DisplAbomasum_inc;Ketosis_inc;Mastitis_inc
63;CAN;p1_high;p1_high;p1_mid;37.3118548680096;37.9229187185826;14.6109707546439;24408.5826892461;43.1149347029625;8.87013103128447;34.244803671678;33.684;635558.742609209;48829.8819076923;2370.76923076923;17227.98;254.644923076923;-9.43421538461516;704232.584455363;215551.980961477;33778.6055415385;31092.9230769231;9652.11753846154;4372.39384615385;18954.9110650888;22173.950987574;335576.883017217;1.04712790152553;1.9903955281437;4.28836576524001;7.23009871733869;1.72960384589374;4.88936288985345;15.1651120736463
64;CAN;p1_high;p1_high;p1_high;37.1138224872341;37.6632022234426;36.321416941495;23139.111814419;47.4661983342681;9.31482398094298;38.1513743533251;44.92;613376.894526922;54179.6759587692;2169.23076923077;17100.468;272.580923076924;0.000000000000184791605094804;687098.850177999;210490.976288492;31981.05444;41464.6153846154;10725.1009230769;3905.22461538462;18908.3572485207;20999.6189502959;338474.947850386;0.796481064400256;2.09944330354283;4.04365852926562;7.13968179879542;1.55619788975049;4.26419243231899;13.848463816616
65;DK;mean_p0;mean_p0;mean_p0;0;0;0;30251.0070294877;34.688578624708;4.93368971908685;29.7548889056211;0.06;949692.936630891;46848.3689916483;20106.7692307692;15097.2147692308;1.67599999999803;6.6408791208791;1031753.60650166;269841.840521538;59526.2936615385;55.3846153846154;12927.2433846154;9455.92615384615;24130.3676923077;74168.9457214793;450106.00175071;12.3045723787;1.36984503192994;8.38544931747246;6.47475969004658;2.78768957751368;6.74999132022547;28.273780037207
66;DK;mean_p0;mean_p0;p1_low;0;0;5.1429398025404;29931.5289789092;36.2207702755883;4.96849198018997;31.2522782953983;0.084;944350.808383049;49039.3633195604;17252.3076923077;15186.3950769231;27.1169230769221;1.32817582417585;1025857.31957074;268847.510545385;60000.8518061538;77.5384615384615;13226.3886153846;9452.60307692308;24124.5828106509;74760.9232867456;450490.398602781;11.9761811446238;1.32535652839425;8.32184432257817;6.64276626333189;2.78357256037015;6.7035923285252;28.0532381647479
67;DK;mean_p0;mean_p0;p1_mid;0;0;20.2212459821085;29212.8210225024;39.6464099379242;5.20151063504864;34.4448993028756;0.076;930826.785043303;53749.4032685714;8074.15384615385;15450.2584615385;111.618769230768;2.65635164835183;1008214.87574045;266165.869610769;59395.8004615385;70.1538461538462;14138.9532307692;9255.37846153846;24105.4459171598;73977.3418569231;447108.943384852;11.0918129540196;1.4305352006133;8.41817430887084;6.78580196456361;2.72009259568245;6.23953657955021;27.4700066784783
68;DK;mean_p0;mean_p0;p1_high;0;0;43.9958438778158;27546.4415702094;35.6849961930808;5.32955661664243;30.3554395764384;1.328;879759.766257267;48095.2616949451;3832.30769230769;13286.9464615385;-1577.32953846154;-34.5325714285717;943362.419996168;255220.792283077;50167.9078184615;1225.84615384615;14315.8172307692;7558.28307692308;24076.9670710059;62320.562975503;414886.176609586;8.97493196104593;1.23974277189031;7.01351714545735;5.77210640330794;2.38969515915364;5.29416264988851;24.1648598095922
69;DK;mean_p0;p1_low;mean_p0;0;5.18162428424882;0;30028.9478414756;36.1785718375801;4.99595125445116;31.182620583129;0.076;946764.901537725;48943.3537705494;17491.3846153846;15201.5649230769;274.937538461538;-10.6254065934066;1028665.5169786;269340.856926923;60214.4397538462;70.1538461538462;13221.6652307692;9462.12923076923;24123.3352366864;75023.2238501183;451455.804075266;12.0264308226655;1.38144861368621;8.3943407125515;6.60626580835598;2.79330513498946;6.7695587010101;28.5606052126101
70;DK;mean_p0;p1_low;p1_low;0;5.24216452287061;5.14129977535743;29740.79625434;37.6318812545115;5.08686871595238;32.5450125385591;0.052;941721.16205911;50951.665803956;14371.6923076923;15319.2461538462;186.299384615383;13.2817582417584;1022563.34746746;268356.833252308;60434.0706461538;48;13349.5116923077;9433.21846153846;24117.320147929;75296.0046908876;451034.958891124;11.513864078685;1.36578069841995;8.34999614514197;6.71843358696594;2.75717410582818;6.4734518409442;27.880758767491
71;DK;mean_p0;p1_low;p1_mid;0;5.14466016416626;20.3014400660285;29068.5502141507;40.3258186746808;5.25201530323515;35.0738033714457;0.084;928261.186157398;54658.4594989011;6253.53846153846;15352.8036923077;213.484;2.65635164835115;1004742.12816179;265622.093259231;59352.3109692308;77.5384615384615;14257.2726153846;9153.30461538462;24101.5101183432;73934.33658071;446498.366619822;10.8548894389534;1.44357842018129;8.27855428144539;6.71961435377687;2.68369649582412;6.16682030493623;27.0274717018794
72;DK;mean_p0;p1_low;p1_high;0;4.31175769086467;42.6463093480167;27161.5101049038;35.3583492100903;5.2800744829665;30.0782747271238;3.02;867004.794098702;47761.1211217582;3641.53846153846;12832.3107692308;-1560.13538461538;-73.0496703296704;929606.579396284;252475.593715385;48443.8998707692;2787.69230769231;13973.0304615385;7209.52615384615;24046.5797337278;60234.0391278106;409170.361370769;8.41783267493183;1.19793651750594;6.7606214000699;5.54816466908498;2.24331733790388;5.00698613428478;23.4403616929328
